學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
111,1010,元智大學,4199018,管理學院學士班,D 日,B 學士,1632,560,1072,94,206,142,288,152,257,134,283,0,0,0,0,0,0,38,38,03 桃園市,1 一般
111,25,國立臺北科技大學,7191074,管理學院工業與科技管理EMBA專班,N 職,M 碩士,81,60,21,34,9,24,12,0,0,2,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
111,1020,南華大學,10151048,管理學院旅遊管理越南境外學士班(越南外貿大學河內校區),D 日,B 學士,24,5,19,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0,0,10 嘉義縣,1 一般
111,1020,南華大學,10151048,管理學院旅遊管理越南境外學士班(越南外貿大學胡志明校區),D 日,B 學士,8,1,7,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,10 嘉義縣,1 一般
111,1028,臺北醫學大學,4199050,管理學院生物科技高階管理碩士在職專班,N 職,M 碩士,37,19,18,7,11,12,6,0,1,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
111,3,國立臺灣大學,4199146,管理學院碩士在職專班,N 職,M 碩士,446,309,137,104,49,111,50,66,30,10,6,2,2,16,0,0,0,0,0,30 臺北市,1 一般
111,7,國立陽明交通大學,4131026,管理學院碩士在職專班,N 職,M 碩士,415,203,212,88,91,81,95,14,12,9,5,11,9,0,0,0,0,0,0,18 新竹市,1 一般
111,18,國立嘉義大學,4131046,管理學院碩士在職專班,N 職,M 碩士,212,100,112,45,51,42,53,4,5,9,3,0,0,0,0,0,0,0,0,20 嘉義市,1 一般
111,44,國立體育大學,4199002,管理學院碩士在職專班,N 職,M 碩士,44,17,27,5,13,7,8,3,3,0,3,2,0,0,0,0,0,0,0,03 桃園市,1 一般
111,1012,大葉大學,4199029,管理學院碩士在職專班,N 職,M 碩士,101,55,46,48,39,5,4,1,2,1,0,0,0,0,1,0,0,0,0,07 彰化縣,1 一般
111,8,國立中央大學,4199029,管理學院碩士在職現役軍人營區專班,N 職,M 碩士,15,10,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03 桃園市,1 一般
111,25,國立臺北科技大學,4131020,管理學院管理博士班,D 日,D 博士,101,58,43,7,7,13,6,7,12,9,3,8,8,8,2,6,5,0,0,30 臺北市,2 技職
111,1014,義守大學,4131012,管理學院管理博士班,D 日,D 博士,30,16,14,3,0,2,1,4,3,0,4,2,2,2,2,3,2,0,0,12 高雄市,1 一般
111,1010,元智大學,4131021,管理學院管理碩士在職專班,N 職,M 碩士,153,72,81,22,40,33,34,2,3,7,1,4,3,4,0,0,0,0,0,03 桃園市,1 一般
111,1014,義守大學,4131012,管理學院管理碩士在職專班,N 職,M 碩士,93,54,39,18,13,24,19,5,6,4,1,2,0,1,0,0,0,0,0,12 高雄市,1 一般
111,1008,靜宜大學,4131014,管理學院管理碩士在職專班柬埔寨境外專班,N 職,M 碩士,4,2,2,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,06 臺中市,1 一般
111,1014,義守大學,4131012,管理學院管理碩士在職專班現役軍人營區碩士在職專班,N 職,M 碩士,7,6,1,0,0,0,0,0,0,3,0,1,0,2,1,0,0,0,0,12 高雄市,1 一般
111,20,國立東華大學,4191066,管理學院管理科學與財金國際學士學位學程,D 日,B 學士,90,41,49,7,15,11,17,12,8,6,7,0,0,0,0,0,0,5,2,15 花蓮縣,1 一般
111,25,國立臺北科技大學,4131011,管理學院經營管理EMBA專班,N 職,M 碩士,63,38,25,19,12,19,12,0,1,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
111,1033,長榮大學,4131026,管理學院經營管理博士班,D 日,D 博士,47,34,13,8,3,6,3,9,4,6,2,3,1,2,0,0,0,0,0,11 臺南市,1 一般
111,1010,元智大學,4131019,管理學院經營管理碩士班,D 日,M 碩士,116,36,80,18,50,12,23,5,6,1,1,0,0,0,0,0,0,0,0,03 桃園市,1 一般
111,1033,長榮大學,4131026,管理學院經營管理碩士班,D 日,M 碩士,41,22,19,20,17,1,2,1,0,0,0,0,0,0,0,0,0,0,0,11 臺南市,1 一般
111,1010,元智大學,4121014,管理學院財務金融暨會計碩士班,D 日,M 碩士,81,40,41,20,18,12,20,5,3,3,0,0,0,0,0,0,0,0,0,03 桃園市,1 一般
111,25,國立臺北科技大學,6131016,管理學院資訊與財金管理EMBA專班,N 職,M 碩士,122,69,53,36,25,33,26,0,1,0,1,0,0,0,0,0,0,0,0,30 臺北市,2 技職
111,1048,亞洲大學,4199026,管理學院進修學士學位學程,P 進,B 學士,86,53,33,0,0,0,0,10,8,23,10,0,0,0,0,0,0,20,15,06 臺中市,1 一般
111,1014,義守大學,4199035,管理學院進修學士班,P 進,B 學士,35,27,8,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 高雄市,1 一般
111,8,國立中央大學,4199029,管理學院高階主管企管碩士班,N 職,M 碩士,170,129,41,55,14,60,20,7,5,2,2,3,0,2,0,0,0,0,0,03 桃園市,1 一般
111,53,國立高雄科技大學,4199063,管理學院高階主管經營管理碩士在職專班,N 職,M 碩士,39,19,20,11,10,8,8,0,2,0,0,0,0,0,0,0,0,0,0,50 高雄市,2 技職
111,1010,元智大學,4191056,管理學院高階創新經營管理越南境外碩士在職專班,N 職,M 碩士,34,24,10,9,6,12,4,3,0,0,0,0,0,0,0,0,0,0,0,03 桃園市,1 一般
111,20,國立東華大學,4131065,管理學院高階經營管理碩士在職專班,N 職,M 碩士,56,24,32,15,18,6,13,2,0,1,0,0,1,0,0,0,0,0,0,15 花蓮縣,1 一般
111,21,國立暨南國際大學,4131047,管理學院高階經營管理碩士學位學程,N 職,M 碩士,91,55,36,29,18,19,13,5,4,2,1,0,0,0,0,0,0,0,0,08 南投縣,1 一般
111,4,國立臺灣師範大學,4131055,管理學院高階經理人企業管理碩士在職專班,N 職,M 碩士,168,75,93,36,46,33,40,2,3,2,2,2,1,0,1,0,0,0,0,30 臺北市,3 師範
111,4,國立臺灣師範大學,4131052,管理研究所,D 日,M 碩士,82,35,47,14,19,19,20,1,5,1,3,0,0,0,0,0,0,0,0,30 臺北市,3 師範
111,22,國立臺灣科技大學,4191009,管理研究所,D 日,D 博士,47,38,9,10,0,9,3,9,2,3,0,2,1,2,2,3,1,0,0,30 臺北市,2 技職
111,22,國立臺灣科技大學,4191009,管理研究所,N 職,M 碩士,135,87,48,42,22,32,24,9,1,4,1,0,0,0,0,0,0,0,0,30 臺北市,2 技職
111,1009,長庚大學,4131006,管理研究所,D 日,D 博士,34,18,16,3,5,6,2,1,1,1,2,2,4,3,1,2,1,0,0,03 桃園市,1 一般
111,32,國立聯合大學,4131012,管理碩士在職學位學程,N 職,M 碩士,43,22,21,10,13,11,8,0,0,1,0,0,0,0,0,0,0,0,0,05 苗栗縣,1 一般
111,1008,靜宜大學,4131014,管理碩士在職專班,N 職,M 碩士,111,57,54,25,29,18,17,10,7,1,0,1,0,2,1,0,0,0,0,06 臺中市,1 一般
111,1005,淡江大學,4131047,管理科學學系,D 日,D 博士,53,27,26,4,5,7,3,5,4,2,4,5,3,3,3,1,4,0,0,01 新北市,1 一般
111,1005,淡江大學,4131047,管理科學學系,D 日,B 學士,447,177,270,32,58,38,80,55,60,40,67,0,0,0,0,0,0,12,5,01 新北市,1 一般
111,1005,淡江大學,4131047,管理科學學系企業經營碩士在職專班,N 職,M 碩士,57,20,37,10,17,9,16,1,3,0,1,0,0,0,0,0,0,0,0,01 新北市,1 一般
111,1005,淡江大學,4131047,管理科學學系企業經營碩士班,D 日,M 碩士,35,19,16,10,11,8,4,1,1,0,0,0,0,0,0,0,0,0,0,01 新北市,1 一般
111,1005,淡江大學,4131047,管理科學學系經營管理全英語碩士班,D 日,M 碩士,46,21,25,14,17,7,8,0,0,0,0,0,0,0,0,0,0,0,0,01 新北市,1 一般
111,7,國立陽明交通大學,4131018,管理科學系,D 日,D 博士,29,18,11,5,1,3,2,2,4,3,2,1,1,1,1,3,0,0,0,18 新竹市,1 一般
111,7,國立陽明交通大學,4131018,管理科學系,D 日,M 碩士,77,27,50,13,23,11,24,3,1,0,2,0,0,0,0,0,0,0,0,18 新竹市,1 一般
111,7,國立陽明交通大學,4131018,管理科學系,D 日,B 學士,218,93,125,17,37,25,35,28,22,21,28,0,0,0,0,0,0,2,3,18 新竹市,1 一般
111,1033,長榮大學,4199027,管理進修學士學位學程,P 進,B 學士,117,101,16,35,8,24,0,18,2,24,6,0,0,0,0,0,0,0,0,11 臺南市,1 一般
111,28,國立臺北藝術大學,2151007,管絃與擊樂研究所,D 日,M 碩士,50,19,31,11,14,5,10,2,7,1,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
111,6,國立中興大學,7151051,精密工程研究所,D 日,D 博士,12,11,1,0,0,4,0,2,0,2,1,0,0,2,0,1,0,0,0,19 臺中市,1 一般
111,6,國立中興大學,7151051,精密工程研究所,D 日,M 碩士,72,65,7,29,6,34,1,2,0,0,0,0,0,0,0,0,0,0,0,19 臺中市,1 一般
111,6,國立中興大學,7151051,精密工程研究所,N 職,M 碩士,42,37,5,10,1,14,2,5,1,3,1,5,0,0,0,0,0,0,0,19 臺中市,1 一般
111,33,國立虎尾科技大學,7151032,精密機械工程科,D 日,5 五專,195,174,21,35,5,27,4,40,2,31,4,41,6,0,0,0,0,0,0,09 雲林縣,2 技職
111,1038,萬能科技大學,7191047,精密機械與工業工程系,D 日,B 四技,171,165,6,60,4,34,1,26,1,37,0,0,0,0,0,0,0,8,0,03 桃園市,2 技職
111,1038,萬能科技大學,7191047,精密機械與工業工程系,N 修,B 四技,75,69,6,27,0,8,0,14,2,19,4,0,0,0,0,0,0,1,0,03 桃園市,2 技職
111,1038,萬能科技大學,7191047,精密機械與工業工程系,N 修,C 二技,92,71,21,0,0,0,0,36,11,35,10,0,0,0,0,0,0,0,0,03 桃園市,2 技職
111,1007,逢甲大學,7151062,精密系統設計學士學位學程,D 日,B 學士,191,137,54,32,15,31,16,36,11,33,12,0,0,0,0,0,0,5,0,19 臺中市,1 一般
111,43,國立勤益科技大學,7194024,精密製造科技研究所,D 日,D 博士,24,20,4,5,1,6,1,2,1,5,0,1,0,1,1,0,0,0,0,06 臺中市,2 技職
111,9,國立中山大學,9141076,精準醫學研究所,D 日,M 碩士,19,7,12,2,6,4,4,1,2,0,0,0,0,0,0,0,0,0,0,50 高雄市,1 一般
111,2,國立清華大學,9121133,精準醫療博士學位學程,D 日,D 博士,5,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
111,5,國立成功大學,7163044,系統及船舶機電工程學系,D 日,D 博士,12,11,1,3,0,1,0,1,0,1,0,1,1,1,0,3,0,0,0,21 臺南市,1 一般
111,5,國立成功大學,7163044,系統及船舶機電工程學系,D 日,M 碩士,89,78,11,35,8,39,3,4,0,0,0,0,0,0,0,0,0,0,0,21 臺南市,1 一般
