"學年度","細學類","細學類名稱","科系名稱","日間∕進修別","等級別","總計","男生計","女生計","一年級男生","一年級女生","二年級男生","二年級女生","三年級男生","三年級女生","四年級男生","四年級女生","五年級男生","五年級女生","六年級男生","六年級女生","七年級男生","七年級女生","延修生男生","延修生女生"
111,01113,特殊教育細學類,特殊教育學系,D 日,M 碩士,59,4,55,0,14,2,20,1,9,1,11,0,1,0,0,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系,D 日,M 碩士,55,18,37,3,10,3,10,5,12,7,4,0,1,0,0,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系,D 日,M 碩士,76,8,68,2,24,4,23,0,8,2,12,0,1,0,0,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系,D 日,M 碩士,124,16,108,5,14,3,28,3,25,4,26,0,5,1,10,0,0,0,0
111,01113,特殊教育細學類,特殊教育學系,D 日,B 學士,163,32,131,7,26,9,35,8,37,7,30,0,0,0,0,0,0,1,3
111,01113,特殊教育細學類,特殊教育學系,D 日,B 學士,263,58,205,9,42,11,56,18,53,19,49,0,0,0,0,0,0,1,5
111,01113,特殊教育細學類,特殊教育學系,D 日,B 學士,192,27,165,6,36,8,47,7,39,6,40,0,0,0,0,0,0,0,3
111,01113,特殊教育細學類,特殊教育學系,D 日,B 學士,185,39,146,5,38,11,34,12,32,11,38,0,0,0,0,0,0,0,4
111,01113,特殊教育細學類,特殊教育學系,D 日,B 學士,179,41,138,12,31,8,35,5,38,12,33,0,0,0,0,0,0,4,1
111,01113,特殊教育細學類,特殊教育學系,D 日,B 學士,160,30,130,5,28,9,33,6,33,8,31,0,0,0,0,0,0,2,5
111,01113,特殊教育細學類,特殊教育學系,D 日,B 學士,174,32,142,11,35,5,34,8,30,7,37,0,0,0,0,0,0,1,6
111,01113,特殊教育細學類,特殊教育學系,D 日,B 學士,295,64,231,15,39,14,67,18,58,16,63,0,0,0,0,0,0,1,4
111,01113,特殊教育細學類,特殊教育學系,D 日,B 學士,158,27,131,9,36,4,31,8,31,6,27,0,0,0,0,0,0,0,6
111,01113,特殊教育細學類,特殊教育學系,D 日,B 學士,191,50,141,8,36,15,30,10,33,15,31,0,0,0,0,0,0,2,11
111,01113,特殊教育細學類,特殊教育學系,D 日,B 學士,151,35,116,9,23,6,30,8,30,12,31,0,0,0,0,0,0,0,2
